Date,Open,High,Low,Close,Volume,Stock
2024-04-02 00:00:00-04:00,168.47,168.73,167.62,168.23,49329500,AAPL
2024-04-03 00:00:00-04:00,168.18,170.06,167.97,169.04,47691700,AAPL
2024-04-04 00:00:00-04:00,169.68,171.3,168.21,168.21,53704400,AAPL
2024-04-05 00:00:00-04:00,168.98,169.78,168.34,168.97,42055200,AAPL
2024-04-08 00:00:00-04:00,168.42,168.59,167.63,167.84,37425500,AAPL
2024-04-09 00:00:00-04:00,168.09,169.47,167.74,169.06,42451200,AAPL
2024-04-10 00:00:00-04:00,168.19,168.48,166.51,167.18,49709300,AAPL
2024-04-11 00:00:00-04:00,167.73,174.83,167.55,174.41,91070300,AAPL
2024-04-12 00:00:00-04:00,173.63,177.72,173.58,175.91,101593300,AAPL
2024-04-15 00:00:00-04:00,174.73,175.99,171.88,172.07,73531800,AAPL
2024-04-16 00:00:00-04:00,171.13,173.13,167.66,168.77,73711200,AAPL
2024-04-17 00:00:00-04:00,169.0,170.03,167.39,167.39,50901200,AAPL
2024-04-18 00:00:00-04:00,167.42,168.03,165.95,166.44,43122900,AAPL
2024-04-19 00:00:00-04:00,165.61,165.8,163.49,164.41,67772100,AAPL
2024-04-22 00:00:00-04:00,164.92,166.66,164.18,165.24,48116400,AAPL
2024-04-23 00:00:00-04:00,164.75,166.45,164.33,166.3,49537800,AAPL
2024-04-24 00:00:00-04:00,165.94,168.69,165.61,168.41,48251800,AAPL
2024-04-25 00:00:00-04:00,168.92,169.99,167.54,169.28,50558300,AAPL
2024-04-26 00:00:00-04:00,169.27,170.72,168.57,168.69,44838400,AAPL
2024-04-29 00:00:00-04:00,172.74,175.4,172.48,172.87,68169400,AAPL
2024-04-30 00:00:00-04:00,172.71,174.36,169.39,169.72,65934800,AAPL
2024-05-01 00:00:00-04:00,168.97,172.09,168.5,168.69,50383100,AAPL
2024-05-02 00:00:00-04:00,171.89,172.79,170.27,172.41,94214900,AAPL
2024-05-03 00:00:00-04:00,185.98,186.33,182.0,182.72,163224100,AAPL
2024-05-06 00:00:00-04:00,181.69,183.54,179.77,181.05,78569700,AAPL
2024-05-07 00:00:00-04:00,182.79,184.23,180.67,181.74,77305800,AAPL
2024-05-08 00:00:00-04:00,182.19,182.41,180.8,182.08,45057100,AAPL
2024-05-09 00:00:00-04:00,181.9,183.99,181.45,183.9,48983000,AAPL
2024-05-10 00:00:00-04:00,184.48,184.67,181.72,182.64,50759500,AAPL
2024-05-13 00:00:00-04:00,185.02,186.68,184.2,185.86,72044800,AAPL
2024-05-14 00:00:00-04:00,187.09,187.88,185.87,187.01,52393600,AAPL
2024-05-15 00:00:00-04:00,187.49,190.22,186.95,189.29,70400000,AAPL
2024-05-16 00:00:00-04:00,190.04,190.67,189.23,189.41,52845200,AAPL
2024-05-17 00:00:00-04:00,189.08,190.38,188.75,189.44,41282900,AAPL
2024-05-20 00:00:00-04:00,188.9,191.49,188.58,190.61,44361300,AAPL
2024-05-21 00:00:00-04:00,190.66,192.3,190.49,191.92,42309400,AAPL
2024-05-22 00:00:00-04:00,191.84,192.39,189.84,190.47,34648500,AAPL
2024-05-23 00:00:00-04:00,190.55,190.57,186.21,186.46,51005900,AAPL
2024-05-24 00:00:00-04:00,188.39,190.15,187.62,189.55,36294600,AAPL
2024-05-28 00:00:00-04:00,191.08,192.56,188.67,189.56,52280100,AAPL
2024-05-29 00:00:00-04:00,189.18,191.82,189.08,189.86,53068000,AAPL
2024-05-30 00:00:00-04:00,190.33,191.75,190.2,190.86,49947900,AAPL
2024-05-31 00:00:00-04:00,191.01,192.14,189.48,191.82,75158300,AAPL
2024-06-03 00:00:00-04:00,192.47,194.55,192.09,193.59,50080500,AAPL
2024-06-04 00:00:00-04:00,194.2,194.88,192.59,193.91,47471400,AAPL
2024-06-05 00:00:00-04:00,194.96,196.46,194.43,195.43,54156800,AAPL
2024-06-06 00:00:00-04:00,195.25,196.06,193.73,194.04,41181800,AAPL
2024-06-07 00:00:00-04:00,194.21,196.5,193.7,196.45,53103900,AAPL
2024-06-10 00:00:00-04:00,196.46,196.86,191.72,192.68,97262100,AAPL
2024-06-11 00:00:00-04:00,193.21,206.69,193.19,206.68,172373300,AAPL
2024-06-12 00:00:00-04:00,206.9,219.7,206.43,212.59,198134300,AAPL
2024-06-13 00:00:00-04:00,214.26,216.26,211.12,213.76,97862700,AAPL
2024-06-14 00:00:00-04:00,213.37,214.69,210.82,212.01,70122700,AAPL
2024-06-17 00:00:00-04:00,212.89,218.46,212.24,216.18,93728300,AAPL
2024-06-18 00:00:00-04:00,217.1,218.14,212.52,213.81,79943300,AAPL
2024-06-20 00:00:00-04:00,213.45,213.76,208.38,209.21,86172500,AAPL
2024-06-21 00:00:00-04:00,209.92,211.41,206.64,207.02,246421400,AAPL
2024-06-24 00:00:00-04:00,207.25,212.22,206.12,207.67,80727000,AAPL
2024-06-25 00:00:00-04:00,208.68,210.9,208.14,208.6,56713900,AAPL
2024-06-26 00:00:00-04:00,211.02,214.38,210.17,212.77,66213200,AAPL
2024-06-27 00:00:00-04:00,214.21,215.25,211.87,213.62,49772700,AAPL
2024-06-28 00:00:00-04:00,215.28,215.58,209.83,210.15,82542700,AAPL
2024-07-01 00:00:00-04:00,211.61,217.02,211.44,216.26,60402900,AAPL
